Start;End;iterations;iops;terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
1682839119;1682839184;1;1000;3;fio-3.28;IOPS-read;0;0;1200000;19999;4999;60003;2;3242;50.959750;77.326453;3;3037;9.566292;44.107872;1.000000%=4;5.000000%=4;10.000000%=5;20.000000%=7;30.000000%=7;40.000000%=8;50.000000%=8;60.000000%=8;70.000000%=9;80.000000%=9;90.000000%=12;95.000000%=12;99.000000%=13;99.500000%=13;99.900000%=28;99.950000%=905;99.990000%=2473;0%=0;0%=0;0%=0;7;4718;62.699543;93.110203;19968;20040;100.000000%;20022.521008;4.078510;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.601645%;4.856269%;365221;0;156;99.9%;0.1%;0.1%;0.1%;0.1%;0.0%;0.0%;0.00%;0.83%;83.71%;15.33%;0.05%;0.00%;0.01%;0.01%;0.01%;0.01%;0.03%;0.02%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;65562;37;33;18;10450;11;10467;62.55%
1682839184;1682839248;1;2000;3;fio-3.28;IOPS-read;0;0;2400000;39998;9999;60003;0;3217;33.844937;60.821426;2;5205;9.655579;132.369082;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=3;60.000000%=4;70.000000%=4;80.000000%=5;90.000000%=6;95.000000%=6;99.000000%=7;99.500000%=7;99.900000%=2441;99.950000%=3784;99.990000%=4947;0%=0;0%=0;0%=0;5;6961;44.900243;153.033758;40000;40080;100.000000%;40022.521008;4.131007;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.665989%;8.982517%;727505;0;232;99.8%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;51.33%;48.42%;0.02%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.05%;0.08%;0.04%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;128512;9;2;6;17261;11;17273;65.28%
1682839248;1682839313;1;3000;3;fio-3.28;IOPS-read;0;0;3600000;59998;14999;60002;0;1712;27.272912;51.970532;2;5011;14.299403;192.687478;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=4;90.000000%=5;95.000000%=5;99.000000%=9;99.500000%=11;99.900000%=4227;99.950000%=4358;99.990000%=4554;0%=0;0%=0;0%=0;5;6695;42.954636;206.872376;59992;60112;100.000000%;60037.647059;4.005937;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.175332%;12.920247%;1077251;0;229;99.7%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;48.44%;50.83%;0.38%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.05%;0.09%;0.15%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180216;53;1;13;20923;21;20947;67.60%
1682839313;1682839377;1;4000;3;fio-3.28;IOPS-read;0;0;4800000;79997;19999;60002;0;1687;28.691702;53.649023;2;5021;24.618457;284.742992;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=4;90.000000%=4;95.000000%=4;99.000000%=6;99.500000%=1646;99.900000%=4358;99.950000%=4423;99.990000%=4620;0%=0;0%=0;0%=0;5;6639;54.660997;298.343503;78360;81760;100.000000%;80049.411765;44.349465;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.216996%;14.695618%;1424680;1;235;99.4%;0.1%;0.1%;0.1%;0.1%;0.4%;0.0%;0.00%;46.71%;52.56%;0.13%;0.02%;0.01%;0.02%;0.01%;0.01%;0.01%;0.05%;0.10%;0.38%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;245616;9;2;6;29368;3;29372;70.92%
1682839377;1682839441;1;5000;3;fio-3.28;IOPS-read;0;0;6000000;99996;24999;60002;0;2923;27.002967;50.119145;2;4646;28.228379;308.557242;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=3;60.000000%=3;70.000000%=3;80.000000%=4;90.000000%=4;95.000000%=5;99.000000%=9;99.500000%=3686;99.900000%=4292;99.950000%=4358;99.990000%=4489;0%=0;0%=0;0%=0;5;7445;56.487504;321.781060;99992;100128;100.000000%;100051.226891;4.757849;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.906661%;24.001173%;1557032;0;224;99.2%;0.1%;0.1%;0.1%;0.1%;0.5%;0.0%;0.00%;75.81%;23.19%;0.25%;0.02%;0.01%;0.05%;0.01%;0.01%;0.01%;0.05%;0.14%;0.44%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;308018;7;1;4;33925;3;33929;72.06%
1682839441;1682839506;1;6000;3;fio-3.28;IOPS-read;0;0;7200000;119996;29999;60002;0;3165;27.460207;51.826835;2;5113;83.871246;566.044885;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=3;60.000000%=4;70.000000%=4;80.000000%=4;90.000000%=5;95.000000%=5;99.000000%=4227;99.500000%=4358;99.900000%=4489;99.950000%=4554;99.990000%=4751;0%=0;0%=0;0%=0;5;6744;112.687018;583.255770;117584;122552;100.000000%;120073.210084;78.004644;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.849327%;22.322926%;1799122;0;222;97.1%;0.9%;0.1%;0.1%;0.1%;1.8%;0.0%;0.00%;52.57%;44.36%;0.50%;0.02%;0.01%;0.47%;0.12%;0.02%;0.02%;0.05%;0.33%;1.54%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;360427;7;0;4;42286;2;42290;73.12%
1682839506;1682839570;1;7000;3;fio-3.28;IOPS-read;0;0;8400000;139995;34998;60002;0;1733;27.971129;52.314781;2;5266;197.372299;838.461694;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=5;90.000000%=10;95.000000%=552;99.000000%=4227;99.500000%=4358;99.900000%=4489;99.950000%=4554;99.990000%=4685;0%=0;0%=0;0%=0;5;6852;226.735446;861.913569;135456;144704;100.000000%;140083.630252;214.344345;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.990660%;27.289242%;2087973;0;224;89.9%;4.5%;0.7%;0.2%;0.1%;4.6%;0.0%;0.00%;42.28%;47.45%;2.54%;0.07%;0.01%;1.82%;0.76%;0.20%;0.08%;0.12%;2.28%;2.38%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;425784;14;3;7;50312;5;50319;74.42%
1682839570;1682839634;1;8000;3;fio-3.28;IOPS-read;0;0;9600000;159992;39998;60003;0;1944;27.970909;52.354180;2;5069;358.365576;1072.997454;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=9;90.000000%=456;95.000000%=3653;99.000000%=4227;99.500000%=4358;99.900000%=4489;99.950000%=4554;99.990000%=4685;0%=0;0%=0;0%=0;5;6624;387.651176;1102.184615;153080;165776;100.000000%;160028.369748;372.178925;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.430648%;25.233997%;2348956;0;224;80.3%;8.5%;1.6%;0.3%;0.1%;9.2%;0.0%;0.00%;42.07%;38.06%;6.20%;0.13%;0.02%;2.39%;1.18%;0.34%;0.14%;0.16%;6.69%;2.62%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;487397;9;0;6;57407;2;57411;74.80%
1682839634;1682839699;1;9000;3;fio-3.28;IOPS-read;0;0;10800000;179994;44998;60002;0;1944;27.408937;52.248959;2;6320;490.005373;1186.152727;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=4;40.000000%=4;50.000000%=4;60.000000%=4;70.000000%=5;80.000000%=12;90.000000%=2965;95.000000%=3620;99.000000%=4227;99.500000%=4358;99.900000%=4489;99.950000%=4554;99.990000%=4685;0%=0;0%=0;0%=0;5;6754;518.771781;1217.998869;170376;189832;100.000000%;180113.815126;817.333417;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.864988%;30.483130%;2512785;0;228;76.2%;8.1%;1.1%;0.2%;0.1%;14.3%;0.0%;0.00%;25.64%;50.39%;6.43%;0.16%;0.02%;1.84%;0.79%;0.18%;0.08%;0.30%;11.72%;2.46%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;540678;9;0;6;63609;2;63614;75.53%
1682839699;1682839763;1;10000;3;fio-3.28;IOPS-read;0;0;12000000;199993;49998;60002;0;2988;27.843285;52.859266;2;5174;610.050342;1247.887393;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=4;50.000000%=4;60.000000%=4;70.000000%=5;80.000000%=954;90.000000%=2998;95.000000%=3620;99.000000%=4227;99.500000%=4292;99.900000%=4489;99.950000%=4554;99.990000%=4685;0%=0;0%=0;0%=0;5;7566;639.240609;1281.321746;183576;216648;100.000000%;200114.084034;1504.750474;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.989320%;31.832454%;2645231;0;232;73.0%;6.1%;0.7%;0.2%;0.1%;19.9%;0.0%;0.00%;31.27%;41.58%;5.11%;0.22%;0.02%;1.19%;0.44%;0.12%;0.06%;1.92%;15.63%;2.44%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;605903;8;1;5;71864;3;71868;76.37%
