Start,End,Iteration,Used Memory
1682837883,1682837948,1,0.10
1682837948,1682838013,1,0.15
1682838013,1682838077,1,0.20
1682838077,1682838141,1,0.25
1682838141,1682838206,1,0.30
1682838206,1682838270,1,0.35
1682838270,1682838334,1,0.40
1682838334,1682838399,1,0.45
1682838399,1682838464,1,0.50
1682838464,1682838528,1,0.55
1682838528,1682838593,1,0.60
1682838593,1682838658,1,0.65
1682838658,1682838723,1,0.70
1682838723,1682838788,1,0.75
1682838788,1682838853,1,0.80
1682838853,1682838918,1,0.85
1682838918,1682838984,1,0.90
1682838984,1682839049,1,0.95
1682839049,1682839119,1,1.00
1682841370,1682841434,1,0.10
1682841434,1682841498,1,0.15
1682841498,1682841563,1,0.20
1682841563,1682841627,1,0.25
1682841627,1682841693,1,0.30
1682841693,1682841757,1,0.35
1682841757,1682841822,1,0.40
1682841822,1682841886,1,0.45
1682841886,1682841951,1,0.50
1682841951,1682842016,1,0.55
1682842016,1682842080,1,0.60
1682842080,1682842145,1,0.65
1682842145,1682842210,1,0.70
1682842210,1682842275,1,0.75
1682842275,1682842340,1,0.80
1682842340,1682842405,1,0.85
1682842405,1682842471,1,0.90
1682842471,1682842536,1,0.95
1682842536,1682842606,1,1.00
1682844857,1682844921,1,0.10
1682844921,1682844985,1,0.15
1682844985,1682845050,1,0.20
1682845050,1682845114,1,0.25
1682845114,1682845181,1,0.30
1682845181,1682845245,1,0.35
1682845245,1682845309,1,0.40
1682845309,1682845374,1,0.45
1682845374,1682845439,1,0.50
1682845439,1682845503,1,0.55
1682845503,1682845568,1,0.60
1682845568,1682845633,1,0.65
1682845633,1682845698,1,0.70
1682845698,1682845763,1,0.75
1682845763,1682845828,1,0.80
1682845828,1682845893,1,0.85
1682845893,1682845959,1,0.90
1682845959,1682846024,1,0.95
1682846024,1682846094,1,1.00
