Start,End,Bitrate,Adapter
1682848058,1682848118,1000000000,lo
1682848118,1682848178,2000000000,lo
1682848178,1682848238,3000000000,lo
1682848238,1682848298,4000000000,lo
1682848298,1682848359,5000000000,lo
1682848359,1682848419,6000000000,lo
1682848419,1682848479,7000000000,lo
1682848479,1682848539,8000000000,lo
1682848539,1682848600,9000000000,lo
1682848600,1682848660,10000000000,lo
1682848660,1682848720,11000000000,lo
1682848720,1682848780,12000000000,lo
1682848780,1682848840,13000000000,lo
1682848840,1682848901,14000000000,lo
1682848901,1682848961,15000000000,lo
1682848961,1682849021,16000000000,lo
1682849021,1682849081,17000000000,lo
1682849081,1682849141,18000000000,lo
1682849141,1682849202,19000000000,lo
1682849202,1682849262,20000000000,lo
1682849262,1682849322,21000000000,lo
1682849322,1682849382,22000000000,lo
1682849382,1682849442,23000000000,lo
1682849442,1682849503,24000000000,lo
1682849503,1682849563,25000000000,lo
1682849563,1682849623,26000000000,lo
1682849623,1682849683,27000000000,lo
1682849683,1682849743,28000000000,lo
1682849743,1682849804,29000000000,lo
1682849804,1682849864,30000000000,lo
1682849994,1682849997,1000000,enp7s0
1682849997,1682849999,6000000,enp7s0
1682849999,1682850000,11000000,enp7s0
1682850000,1682850000,16000000,enp7s0
1682850000,1682850001,21000000,enp7s0
1682850001,1682850001,26000000,enp7s0
1682850001,1682850001,31000000,enp7s0
1682850001,1682850002,36000000,enp7s0
1682850002,1682850002,41000000,enp7s0
1682850002,1682850002,46000000,enp7s0
1682850002,1682850002,51000000,enp7s0
1682850002,1682850002,56000000,enp7s0
1682850002,1682850002,61000000,enp7s0
1682850020,1682850080,1000000,enp7s0
1682850080,1682850140,6000000,enp7s0
1682850140,1682850200,11000000,enp7s0
1682850200,1682850261,16000000,enp7s0
1682850261,1682850321,21000000,enp7s0
1682850321,1682850381,26000000,enp7s0
1682850381,1682850441,31000000,enp7s0
1682850441,1682850501,36000000,enp7s0
1682850501,1682850561,41000000,enp7s0
1682850561,1682850621,46000000,enp7s0
1682850621,1682850681,51000000,enp7s0
1682850681,1682850741,56000000,enp7s0
1682850741,1682850801,61000000,enp7s0
1682850801,1682850862,66000000,enp7s0
1682850862,1682850922,71000000,enp7s0
1682850922,1682850982,76000000,enp7s0
1682850982,1682851042,81000000,enp7s0
1682851042,1682851102,86000000,enp7s0
1682851102,1682851162,91000000,enp7s0
1682851162,1682851222,96000000,enp7s0
