Start,End,Iteration,CPU Cores,CPU Load
1682172650,1682172714,1,16,10
1682172714,1682172778,1,16,20
1682172778,1682172842,1,16,30
1682172842,1682172906,1,16,40
1682172906,1682172970,1,16,50
1682172970,1682173034,1,16,60
1682173034,1682173098,1,16,70
1682173098,1682173163,1,16,80
1682173163,1682173227,1,16,90
1682173227,1682173291,1,16,100
1682233959,1682234023,1,16,10
1682234023,1682234087,1,16,20
1682234087,1682234151,1,16,30
1682234151,1682234215,1,16,40
1682234215,1682234279,1,16,50
1682234279,1682234344,1,16,60
1682234344,1682234408,1,16,70
1682234408,1682234472,1,16,80
1682234472,1682234536,1,16,90
1682234536,1682234600,1,16,100
