Start;End;iterations;iops;terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
1682348206;1682348271;1;1000;3;fio-3.28;IOPS-read;0;0;1200000;19999;4999;60001;2;2997;46.452155;68.973340;2;4155;8.883600;40.066903;1.000000%=3;5.000000%=4;10.000000%=4;20.000000%=5;30.000000%=6;40.000000%=7;50.000000%=8;60.000000%=8;70.000000%=9;80.000000%=9;90.000000%=10;95.000000%=12;99.000000%=13;99.500000%=13;99.900000%=27;99.950000%=585;99.990000%=2007;0%=0;0%=0;0%=0;7;6764;57.449257;84.004181;20000;20040;100.000000%;20021.781513;3.987361;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.511000%;5.512667%;365275;0;168;99.9%;0.1%;0.1%;0.1%;0.1%;0.0%;0.0%;0.00%;1.47%;84.90%;13.52%;0.04%;0.01%;0.01%;0.01%;0.01%;0.01%;0.03%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;65455;53;0;13;9202;25;9239;62.20%
1682348271;1682348335;1;2000;3;fio-3.28;IOPS-read;0;0;2400000;39998;9999;60003;0;2002;33.380268;58.255832;2;5117;10.946419;132.682908;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=4;30.000000%=4;40.000000%=5;50.000000%=5;60.000000%=5;70.000000%=6;80.000000%=6;90.000000%=6;95.000000%=7;99.000000%=8;99.500000%=9;99.900000%=2572;99.950000%=3915;99.990000%=4620;0%=0;0%=0;0%=0;5;6820;45.992669;151.973987;40000;40056;100.000000%;40029.915966;3.538112;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.318662%;9.560206%;727393;0;237;99.8%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;16.16%;83.56%;0.03%;0.03%;0.01%;0.01%;0.01%;0.01%;0.01%;0.05%;0.08%;0.05%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;128510;32;3;15;15832;19;15859;66.63%
1682348335;1682348399;1;3000;3;fio-3.28;IOPS-read;0;0;3600000;59998;14999;60002;0;2068;27.051695;51.851110;2;5067;10.414656;146.853011;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=3;60.000000%=3;70.000000%=3;80.000000%=4;90.000000%=4;95.000000%=5;99.000000%=6;99.500000%=6;99.900000%=3293;99.950000%=4112;99.990000%=4358;0%=0;0%=0;0%=0;5;7107;38.732165;162.691279;59992;60104;100.000000%;60032.537815;4.129692;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.672329%;12.447917%;1077929;0;228;99.7%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;73.89%;25.83%;0.01%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.04%;0.09%;0.06%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180219;21;2;12;20818;7;20830;67.57%
1682348399;1682348464;1;4000;3;fio-3.28;IOPS-read;0;0;4800000;79997;19999;60002;0;1758;28.187289;50.917067;2;4800;25.058872;276.497310;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=4;40.000000%=4;50.000000%=4;60.000000%=5;70.000000%=5;80.000000%=5;90.000000%=6;95.000000%=6;99.000000%=7;99.500000%=1908;99.900000%=4177;99.950000%=4292;99.990000%=4489;0%=0;0%=0;0%=0;5;6469;54.794771;289.533294;80008;80120;100.000000%;80060.840336;4.530330;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.832992%;15.238181%;1428020;0;228;99.4%;0.1%;0.1%;0.1%;0.1%;0.4%;0.0%;0.00%;27.72%;71.58%;0.07%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.05%;0.22%;0.28%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;245667;212;3;79;27460;70;27543;71.26%
1682348464;1682348528;1;5000;3;fio-3.28;IOPS-read;0;0;6000000;99996;24999;60002;0;1696;26.322321;48.879972;2;4716;42.222510;380.318101;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=4;90.000000%=5;95.000000%=5;99.000000%=1003;99.500000%=3981;99.900000%=4177;99.950000%=4227;99.990000%=4423;0%=0;0%=0;0%=0;5;6335;69.904108;393.892614;97464;102632;100.000000%;100060.571429;67.235250;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.000660%;17.977213%;1667744;1;228;98.8%;0.1%;0.1%;0.1%;0.1%;0.9%;0.0%;0.00%;47.84%;50.90%;0.12%;0.02%;0.01%;0.07%;0.02%;0.01%;0.01%;0.05%;0.52%;0.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;308018;41;2;14;33012;17;33036;71.83%
1682348528;1682348593;1;6000;3;fio-3.28;IOPS-read;0;0;7200000;119996;29999;60002;0;2983;25.921216;48.720307;2;4660;75.894492;519.096085;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=4;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=5;90.000000%=5;95.000000%=6;99.000000%=3915;99.500000%=4046;99.900000%=4227;99.950000%=4292;99.990000%=4423;0%=0;0%=0;0%=0;5;7405;103.253032;534.899871;115176;124984;100.000000%;120079.865546;141.102149;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.691655%;24.880167%;1798854;0;230;97.6%;0.5%;0.1%;0.1%;0.1%;1.7%;0.0%;0.00%;32.99%;64.35%;0.39%;0.04%;0.02%;0.28%;0.05%;0.01%;0.01%;0.05%;1.12%;0.68%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;360440;27;2;13;38737;11;38757;72.91%
1682348593;1682348657;1;7000;3;fio-3.28;IOPS-read;0;0;8400000;139995;34998;60002;0;2611;26.270416;49.120900;2;5037;150.025244;719.440931;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=4;40.000000%=4;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=5;90.000000%=6;95.000000%=125;99.000000%=3981;99.500000%=4112;99.900000%=4292;99.950000%=4292;99.990000%=4489;0%=0;0%=0;0%=0;5;7012;177.744357;739.683351;136360;143816;100.000000%;140086.924370;154.979537;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.160329%;28.442572%;2093099;0;223;92.7%;3.1%;0.3%;0.1%;0.1%;3.6%;0.0%;0.00%;23.71%;68.92%;1.62%;0.03%;0.03%;1.40%;0.37%;0.10%;0.04%;0.08%;2.72%;0.97%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;425788;26;2;14;46366;17;46392;74.46%
1682348657;1682348721;1;8000;3;fio-3.28;IOPS-read;0;0;9600000;159992;39998;60003;0;2540;26.298414;49.465389;2;5291;273.509002;932.281229;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=4;50.000000%=4;60.000000%=4;70.000000%=4;80.000000%=5;90.000000%=126;95.000000%=3391;99.000000%=4014;99.500000%=4112;99.900000%=4292;99.950000%=4358;99.990000%=4489;0%=0;0%=0;0%=0;5;6950;301.181199;957.801439;155280;164920;100.000000%;160098.890756;268.573834;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.650645%;26.925641%;2364418;0;229;84.4%;6.9%;1.2%;0.3%;0.1%;7.1%;0.0%;0.00%;31.36%;52.80%;4.65%;0.11%;0.05%;2.42%;0.88%;0.28%;0.12%;0.16%;6.09%;1.09%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;487412;25;2;12;53446;12;53466;74.78%
1682348721;1682348786;1;9000;3;fio-3.28;IOPS-read;0;0;10800000;179994;44998;60002;0;3195;25.897756;49.579606;2;4811;403.048758;1077.282059;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=3;60.000000%=4;70.000000%=4;80.000000%=10;90.000000%=2703;95.000000%=3424;99.000000%=4014;99.500000%=4112;99.900000%=4292;99.950000%=4358;99.990000%=4423;0%=0;0%=0;0%=0;5;6984;430.234323;1106.207582;171752;188488;100.000000%;180102.386555;585.327822;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.518323%;33.497777%;2549674;0;232;79.1%;7.5%;1.2%;0.2%;0.1%;11.8%;0.0%;0.00%;53.98%;25.03%;5.68%;0.17%;0.05%;2.07%;0.79%;0.21%;0.09%;0.19%;10.66%;1.09%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;540656;30;2;13;59772;11;59792;75.57%
1682348786;1682348850;1;10000;3;fio-3.28;IOPS-read;0;0;12000000;199986;49996;60004;0;1713;26.239646;49.673121;2;5276;521.581494;1156.903235;1.000000%=3;5.000000%=3;10.000000%=3;20.000000%=3;30.000000%=3;40.000000%=3;50.000000%=4;60.000000%=4;70.000000%=5;80.000000%=15;90.000000%=2834;95.000000%=3424;99.000000%=4014;99.500000%=4112;99.900000%=4292;99.950000%=4292;99.990000%=4489;0%=0;0%=0;0%=0;5;6327;549.159031;1187.672307;187504;212736;100.000000%;200127.529412;1110.716610;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;2.446618%;36.707266%;2679211;0;242;74.7%;7.1%;0.9%;0.2%;0.1%;17.0%;0.0%;0.00%;41.57%;32.95%;5.79%;0.21%;0.03%;1.65%;0.51%;0.14%;0.06%;1.09%;15.02%;0.99%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;605907;26;0;14;67080;24;67112;76.24%
